Test_Case_ID,64_Bytes,128_Bytes,256_Bytes,512_Bytes,1024_Bytes,1280_Bytes,1518_Bytes
D01-1,"0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
D01-1-1,"0,0,0,0,0,0,0,10.4,20.356,28.237,71.68","0,0,0,0,0,0,0,0,0,1.899,98.047","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
D01-2,"0,0,0,0,0,0,0,0,9.579,18.621,81.341","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
D01-3,"0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
D01-4,"0,0,0,0,0,0,0,0.417,9.784,18.822,76.507","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
D01-5,"0,0,0,0,0,0,0,0,0,8.984,90.912","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
D01-6,"0,0,0,0,0,0,0,0,1.133,11.019,88.882","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
D01-7,"0,0,0,0,0,0,0,0,9.56,18.536,80.567","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
D01-8,"0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
D01-9,"0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100"
